Experiment,Algorithm,Map,Map_Center,Map_Resolution,Start,End,Score,Run_Time_(sec),Budget_hours,Robots,Constraints
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 1]",,7.2325005033132275,11.512609481811525,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 5]",,9.318627023563927,11.064651489257812,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 9]",,10.082909673331311,10.794018983840942,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 1]",,8.701115498931268,11.331604957580565,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 5]",,9.888345379478084,10.203006744384766,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 9]",,10.587634737534492,10.070130109786989,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 1]",,9.419830651334175,9.799670934677122,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 5]",,10.405011852083,10.006187438964844,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 9]",,10.661649091813857,9.866596221923828,8.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 1]",,8.920692306315138,18.514057159423828,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 5]",,9.261837927303182,16.99831748008728,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 9]",,11.660864716997988,16.991231679916382,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 1]",,10.298293045755887,17.692612886428833,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 5]",,11.264344136827061,17.230650901794437,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 9]",,11.890203081340225,17.68297004699707,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 1]",,11.017008198158797,16.69520354270935,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 5]",,11.808782523994415,17.614221334457394,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[9, 9]",,11.93713418233756,16.116517782211304,10.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 1]",,11.093978402817754,33.06619167327881,12.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 5]",,12.91649349448326,33.487102031707764,12.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[1, 9]",,13.778924817340426,33.31670594215393,12.0,1,none
Budget_Test,MCTS,roms/txla_hindcast_agg_full_2013_07_10.nc,"xLon: -92.70000, yLat: 28.80000","(1, 1)","[5, 1]",,12.470302695794576,34.440194845199585,12.0,1,none
